CLIQQ | POS,2199,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711COLUMBIA,COLUMBIA TOWER: ORTIGAS AVE.: MANDALUYONG CITY,Mandaluyong ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2234,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711ORIENTSQUARE,RUBY ROAD: ORTIGAS CTR.: PASIG CITY,Pasig,Metro Manila,Metro Manila,Convenience Store,
POS,2251,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711RFM,RFM CORPORATE CENTER: MANDALUYONG CITY,Mandaluyong ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2253,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711HERRERA,Y-L BLDG.: HERRERA ST. COR. SALCEDO ST.: LEGASPI VILLAGE: MAKATI CITY,Makati ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2254,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711RIZALMED,PASIG BLVD. COR. BANAAG: PINEDA: PASIG CITY,Pasig,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2258,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711CITYLAND,LG7 CITYLAND 1 TOWER: VALERO COR. DELA COSTA ST.: SALCEDO VILLAGE: MAKATI CITY,Makati ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2259,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711PDCP,G/F PDCP BANK CENTER: VA RUFINO COR. SAN AGUSTIN: SALCEDO VILL.: MAKATI,Makati ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2260,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711MANANSALA,MANANSALA BLDG.: ESTRELLA ST.: ROCKWELL CENTER: MAKATI CITY,Makati ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2262,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711BONI,BONI AVENUE COR.: EDSA MANDALUYONG CITY,Mandaluyong ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2263,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711SAGITTARIUS,G/F SAGITTARIUS BLDG.: H.V. DELA COSTA ST.: SALCEDO VILLAGE: MAKATI,Makati ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2264,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711BARANCA,BONI AVE.: BARANGKA DRIVE: MANDALUYONG,Mandaluyong ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2266,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711SHAW,SHAW BLVD. COR KALENTONG ST.: MANDALUYONG CITY,Mandaluyong ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2267,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711VIRRA,P. BURGOS AVE. COR. DAPO ST.: MAKATI CITY,Makati ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2268,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711BONIFACIO,A. BONIFACIO ST.: COR. SHAW BLVD.: MANDALUYONG CITY,Mandaluyong ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2269,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711RCBC,RCBC BLDG. 3RD FLR. RCBC PODUIM: AYALA AVENUE COR. BUENDIA: MAKATI CITY,Makati ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2270,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711AYALAFGU,AYALA AVE.: SALCEDO VILLAGE: MAKATI CITY,Makati ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2271,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711KABIHASNAN,KABIHASNAN ST. COR. SAN DIONISIO  PARAÑAQUE,Parañaque,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2272,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711REVAGLIPAY,BONI AVE.: COR. A.T. REYES AGLIPAY: MANDALUYONG CITY,Mandaluyong ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2273,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711ZAPOTE,ALABANG ZAPOTE ROAD COR. F. SANTOS: LAS PIÑAS,Las Piñas,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2274,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711JUPITER,MAKATI AVE.: COR. GIL PUYAT AVE.: MAKATI,Makati ,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2275,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711LAHUERTA,QUIRINO AVENUE COR. DANDAN ST.: LA HUERTA: PARAÑAQUE,Parañaque,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2276,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711OLIVAREZ,8156 DR. A. SANTOS AVE.: BRGY. SAN DIONISIO: SUCAT: PARAÑAQUE CITY,Parañaque,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2277,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711LOWERBICUTAN,GEN. SANTOS AVENUE COR. M.L. QUEZON ST.: LOWER BICUTAN,Taguig,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2278,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711BETTERLIVING2,DOÑA SOLEDAD AVENUE COR. PERU: BETTER LIVING: PARAÑAQUE CITY,Parañaque,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2279,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711CANAYNAY,DR. A. SANTOS AVE.: COR. CANAYNAY AVE.: PARAÑAQUE,Parañaque,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2280,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711BRUGER,NATIONAL RD.: BRUGER ST.: BRUGER SUBD.: MUNTINLUPA CITY,Muntinlupa,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2282,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711LASPINASCH,ALABANG-ZAPOTE RD.: F. OCAMPO AVE.: PAMPLONA 3: LAS PIÑAS CITY,Las Piñas,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2283,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711MARCELO,WEST SERVICE ROAD COR. MARCELO AVE.: PARAÑAQUE,Parañaque,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2427,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711BALAGTAS,MC ARTHUR HI-WAY: WAWA: BALAGTAS: BULACAN,Balagtas,Bulacan,North Luzon,Convenience Store,
CLIQQ | POS,2428,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711XAVIERHILL,XAVIER HILLS CONDO. TOWER 1: GRANADA ST. COR. N. DOMINGO: QC,Quezon City,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2429,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711NDOMINGO,N. DOMINGO COR. F. BLUMENTRITT ST.: SAN JUAN,San Juan,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2430,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711ANNAPOLIS,G/F CONTINENTAL PLAZA: #45 ANNAPOLIS: GREENHILLS: SAN JUAN: MM,San Juan,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2431,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711EMERALD,EMERALD AVE.: ORTIGAS CTR.: PASIG CITY,Pasig,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2542,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711NAGTAHAN,NAGTAHAN COR. J.P. LAUREL: STA. MESA MANILA,Manila,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2544,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711UN,9 U.N. AVE.: ERMITA: MANILA,Manila,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2545,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711QUIAPO,465 QUEZON BLVD.: QUIAPO: MANILA,Manila,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2546,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711ADRIATICO,ADRIATICO COR.: P. FAURA: MANILA,Manila,Metro Manila,Metro Manila,Convenience Store,
CLIQQ | POS,2548,PHILIPPINE SEVEN CORPORATION,PHILIPPINE SEVEN CORPORATION,711RETIRO,RETIRO COR. DIMASALANG: MANILA,Manila,Metro Manila,Metro Manila,Convenience Store,
